X1;X2
-15.462533;-19.584545
30.120035;31.630331
13.830143;-7.921555
25.071342;-0.5534844
2.1495087;-43.57533
-22.662214;14.444849
46.98044;-2.374749
-9.353918;23.580658
39.44189;-5.13274
4.1825504;12.2434435
10.381675;-21.471348
-29.751833;-9.387357
17.786692;39.76525
-4.0238767;-30.429058
-39.046383;-0.38000953
-3.8759289;7.5539165
-48.878685;10.930199
-42.669487;1.2692974
-37.865604;19.734097
-14.576782;19.466858
-8.902873;-6.45139
-35.746536;12.559997
-8.060297;9.46629
13.275079;-37.767624
-18.608559;-35.907776
-3.0775044;29.894934
-4.6750374;-47.43813
18.066298;-43.070133
-40.5484;19.128956
14.812519;-21.14904
18.507082;42.281624
-19.79807;13.684862
-7.6573887;-13.629125
-0.98563665;-23.937485
42.30162;18.436775
28.425718;-7.123335
-2.1376982;17.451778
35.40596;0.81305355
23.43418;17.072712
-40.185383;-4.9357214
27.375002;6.3452187
18.95211;-45.3998
-14.284588;10.810357
-17.942787;-27.997705
-29.846926;-15.907319
11.819415;29.013035
-47.12383;0.5708339
22.705486;15.862948
-2.3674026;-14.557776
17.051142;-29.849848
-14.811072;-4.3006887
14.462277;-14.846869
-0.69509345;-39.705006
39.447006;-5.499508
-32.86401;-4.242298
-12.7789135;-36.97361
-7.436586;-11.919125
-25.857586;-20.31717
-3.0369575;7.72274
-40.288887;-3.1940234
-11.263578;-35.391716
6.9314523;24.544977
-18.45263;-17.80624
-16.060558;10.769202
-12.843135;33.382263
-5.102063;16.888174
-9.437216;5.930175
-37.75208;20.584055
21.534113;-21.751312
-2.5129974;7.4613137
-43.348785;-12.601402
-13.235055;-46.891415
7.9073305;-24.717344
32.752285;-9.203669
25.047495;9.343121
-38.95032;-4.342566
14.846023;43.034107
38.548325;8.312751
41.048046;-8.574129
-7.074273;4.3905272
6.884133;38.709145
9.536057;-5.413507
-29.39091;-24.703903
42.778324;-22.168173
-7.6784925;-11.786913
-32.809017;-22.074438
-7.0940742;-11.579292
-23.169373;-29.988312
-10.295954;-12.439649
18.368961;12.192564
15.75906;-3.87862
15.86305;25.15884
7.6022234;-16.724842
-20.127453;-3.795179
-25.677868;12.742248
-22.139328;-5.243489
19.916801;-12.248997
24.677128;-3.687411
-30.437225;-14.239818
9.672631;18.62863
27.01158;-34.31521
17.407204;30.43893
24.448391;-9.557187
-3.5972586;-0.090478905
-21.78491;23.585512
-14.276165;5.547039
12.3917265;20.378239
-4.0789704;0.6982416
-1.2841601;47.81053
-19.162992;-13.587217
19.439766;-43.38035
-7.9091454;-11.982573
-17.922565;-10.371899
38.03943;30.4538
-14.580365;-32.87839
-28.306252;36.00501
6.0550466;14.172079
-21.653334;-19.623135
40.664124;18.105183
10.498365;-18.874413
-22.891209;-28.865728
25.312353;18.030594
33.182858;-33.951256
-29.750124;-26.262415
-8.607376;-5.258537
-15.877131;6.928933
32.913372;13.284651
10.525078;-10.420304
-32.721573;24.53593
-29.030922;-21.968102
-15.646677;37.575886
12.068677;28.800526
11.665194;-12.014168
-19.285175;-8.787351
-32.38589;-27.779486
-33.428852;-7.494341
36.907143;9.631093
-12.75387;-37.048206
-11.258666;-35.48246
7.03924;25.276615
25.2109;-35.025562
25.53527;-21.908274
-8.278166;9.677638
32.99323;21.278805
0.6905787;-26.57744
32.741833;-7.1667914
37.80643;18.937521
4.106613;-10.308051
37.11414;-15.9232025
12.404963;26.027422
16.70937;43.57206
31.747606;26.075018
30.71336;7.788534
-28.140299;8.826537
-2.703302;2.2884016
26.460518;-35.276215
44.87263;-20.242233
-33.50748;3.9619026
-25.092474;-5.948353
-21.699522;1.1989455
-16.446701;13.0792675
14.694715;-16.139462
15.004981;41.8546
36.035156;29.497932
-11.971289;-18.225174
39.245907;-11.241734
48.3882;-2.1704984
-20.594305;7.902662
-25.024323;-15.472803
-13.7320175;-0.3967639
-16.933176;0.40681645
-10.581113;-46.661747
